Order ID,Order Date,Customer Name,Region,State,City,Category,Sub Category,Product Name,Sales,Profit,Quantity,Discount
CA-2025-10014,2025-11-06,Carol Martinez,South,Florida,Miami,Office Supplies,Paper,Photo Paper Glossy,75.47,34.8,1,0.0
CA-2025-10015,2025-05-05,Emily Davis,West,California,San Francisco,Technology,Machines,3D Printer Pro,1614.17,321.16,5,0.2
CA-2024-10015,2024-04-12,Jack Thomas,Central,Texas,Houston,Office Supplies,Appliances,Countertop Microwave,124.6,48.5,4,0.0
CA-2025-10015,2025-08-16,Carol Martinez,South,Georgia,Atlanta,Technology,Phones,OnePlus 11,1781.15,521.91,4,0.1
CA-2024-10016,2024-11-20,Frank Miller,West,California,San Francisco,Technology,Accessories,Noise-Cancelling Headphones,1102.97,222.79,2,0.0
CA-2025-10016,2025-02-04,Leo Harris,West,California,Los Angeles,Technology,Phones,Samsung Galaxy S23,429.29,153.81,1,0.1
CA-2024-10016,2024-06-06,Carol Martinez,South,Georgia,Atlanta,Furniture,Chairs,Leather Executive High-Back Chair,267.17,-22.06,1,0.3
CA-2024-10017,2024-07-14,Henry Wilson,East,New York,New York City,Office Supplies,Fasteners,Paperclips Box of 500,46.39,25.69,1,0.0
CA-2025-10017,2025-06-06,Olivia Lewis,Central,Texas,Houston,Furniture,Bookcases,Metal Storage Bookshelf,1432.04,25.22,5,0.15
CA-2024-10017,2024-06-12,Alice Smith,East,New York,New York City,Furniture,Tables,Folding Utility Table,857.18,3.2,3,0.3
CA-2025-10018,2025-04-25,Carol Martinez,West,California,San Francisco,Furniture,Tables,Conference Room Table,2220.36,-83.47,11,0.0
CA-2024-10018,2024-10-04,Jack Thomas,South,Florida,Miami,Technology,Accessories,Mechanical Keyboard,405.42,133.36,3,0.0
CA-2025-10018,2025-09-13,Karen White,East,New York,New York City,Technology,Accessories,Wireless Mouse,860.16,283.97,4,0.1
CA-2025-10019,2025-03-25,Carol Martinez,South,North Carolina,Charlotte,Office Supplies,Art,Acrylic Paint Set,84.34,41.24,2,0.0
CA-2024-10019,2024-01-12,David Chen,West,Washington,Seattle,Technology,Accessories,USB-C Hub,143.79,63.38,2,0.2
CA-2024-10019,2024-02-20,Ivy Anderson,West,California,San Francisco,Technology,Phones,OnePlus 11,6048.54,967.63,11,0.1
CA-2025-10020,2025-11-04,David Chen,Central,Illinois,Chicago,Furniture,Bookcases,4-Shelf Wood Bookcase,1113.58,36.11,7,0.5
CA-2024-10020,2024-06-30,Jack Thomas,South,Florida,Miami,Furniture,Tables,Folding Utility Table,994.28,-112.53,5,0.5
CA-2024-10020,2024-06-30,Jack Thomas,South,Florida,Miami,Furniture,Tables,Folding Utility Table,994.28,-112.53,5,0.5
CA-2024-10020,2024-03-02,Grace Taylor,East,Massachusetts,Boston,Technology,Accessories,Wireless Mouse,5411.84,2000.0,12,0.0
CA-2024-10021,2024-12-13,Nathan Clark,Central,Illinois,Chicago,Technology,Accessories,Wireless Mouse,6989.9,1126.96,11,0.2
CA-2025-10021,2025-04-28,Ivy Anderson,Central,Texas,Houston,Furniture,Chairs,Ergonomic Mesh Office Chair,974.15,34.74,12,0.5
CA-2025-10021,2025-04-01,Leo Harris,West,California,San Francisco,Furniture,Tables,Conference Room Table,2118.95,65.15,10,0.15
CA-2025-10022,2025-04-17,Leo Harris,East,Massachusetts,Boston,Office Supplies,Binders,Heavy-Duty Presentation Folder,484.98,271.62,7,0.0
CA-2024-10022,2024-06-14,Emily Davis,West,California,San Francisco,Office Supplies,Art,Sketchbook 100 Pages,542.09,204.33,10,0.0
CA-2025-10022,2025-05-22,Henry Wilson,South,Florida,Miami,Technology,Phones,OnePlus 11,8889.53,2739.39,12,0.0
CA-2025-10023,2025-02-12,Olivia Lewis,South,North Carolina,Charlotte,Furniture,Tables,Standing Desk Birch Wood,864.23,15.07,10,0.3
CA-2025-10023,2025-09-20,Ivy Anderson,Central,Texas,Austin,Technology,Phones,Google Pixel 7,1075.6,165.01,8,0.2
CA-2025-10023,2025-10-10,Ivy Anderson,Central,Texas,Austin,Office Supplies,Paper,Photo Paper Glossy,408.45,222.0,8,0.2
CA-2024-10024,2024-05-11,Karen White,South,Georgia,Atlanta,Furniture,Bookcases,4-Shelf Wood Bookcase,2611.36,-328.22,12,0.5
CA-2025-10024,2025-06-28,Henry Wilson,West,California,San Francisco,Office Supplies,Paper,Recycled Notepad Pack,113.1,39.68,3,0.0
CA-2024-10024,2024-04-12,Jack Thomas,West,California,San Francisco,Office Supplies,Binders,Ring Binder 2-Inch,476.03,275.65,7,0.0
CA-2025-10025,2025-08-26,Grace Taylor,Central,Texas,Houston,Furniture,Furnishings,Desk Organizer Organizer Tray,448.92,-58.11,2,0.3
CA-2024-10025,2024-10-14,Grace Taylor,Central,Illinois,Chicago,Furniture,Bookcases,Metal Storage Bookshelf,247.98,-32.55,1,0.15
CA-2025-10025,2025-09-08,Bob Johnson,West,Washington,Seattle,Technology,Phones,Samsung Galaxy S23,4796.52,1142.33,6,0.0
CA-2025-10026,2025-03-25,Jack Thomas,Central,Texas,Houston,Furniture,Chairs,Leather Executive High-Back Chair,3152.45,-427.96,9,0.15
CA-2025-10026,2025-07-23,Bob Johnson,South,Florida,Miami,Technology,Accessories,USB-C Hub,2630.35,398.3,4,0.1
CA-2025-10026,2025-04-01,Karen White,West,California,Los Angeles,Office Supplies,Art,Sketchbook 100 Pages,536.76,276.97,9,0.0
CA-2025-10027,2025-06-10,Carol Martinez,Central,Texas,Houston,Furniture,Furnishings,LED Desk Lamp,2502.53,117.54,9,0.3
CA-2024-10027,2024-03-25,Grace Taylor,South,Florida,Miami,Furniture,Bookcases,Metal Storage Bookshelf,1825.34,-77.06,8,0.3
CA-2024-10027,2024-03-19,Henry Wilson,West,California,San Francisco,Furniture,Tables,Standing Desk Birch Wood,804.26,-72.85,3,0.3
CA-2025-10028,2025-06-08,Emily Davis,South,Georgia,Atlanta,Office Supplies,Appliances,Countertop Microwave,135.04,74.03,4,0.0
CA-2025-10028,2025-05-16,,South,Georgia,Atlanta,Technology,Copiers,Brother Monochrome Copier,7182.95,2169.37,10,0.1
CA-2025-10028,2025-08-13,Grace Taylor,East,Massachusetts,Boston,Technology,Phones,OnePlus 11,3911.12,1267.91,8,0.0
CA-2024-10029,2024-10-30,Olivia Lewis,South,Florida,Miami,Technology,Machines,Laminator Core,10447.78,3857.87,12,0.0
CA-2024-10029,2024-05-04,Bob Johnson,West,California,San Francisco,Office Supplies,Binders,Heavy-Duty Presentation Folder,42.83,13.38,1,0.0
CA-2025-10029,2025-07-13,Ivy Anderson,South,North Carolina,Charlotte,Office Supplies,Fasteners,Rubber Bands Size 32,190.04,62.74,3,0.2
CA-2025-10030,2025-01-03,Carol Martinez,Central,Texas,Austin,Technology,Phones,Samsung Galaxy S23,693.35,308.34,1,0.0
CA-2024-10030,2024-02-02,Ivy Anderson,East,Massachusetts,Boston,Office Supplies,Paper,Premium Copy Paper A4,12.89,4.56,2,0.2
CA-2025-10030,2025-07-15,Olivia Lewis,East,Massachusetts,Boston,Office Supplies,Paper,Recycled Notepad Pack,645.58,330.25,10,0.0
CA-2024-10031,2024-03-27,Carol Martinez,West,California,Los Angeles,Technology,Accessories,Noise-Cancelling Headphones,3336.46,724.61,5,0.1
CA-2025-10031,2025-08-25,Ivy Anderson,West,Washington,Seattle,Technology,Machines,Heavy-Duty Shredder,648.17,153.64,5,0.2
CA-2025-10031,2025-08-25,Ivy Anderson,West,Washington,Seattle,Technology,Machines,Heavy-Duty Shredder,648.17,153.64,5,0.2
CA-2025-10031,2025-10-01,Frank Miller,East,Massachusetts,Boston,Technology,Machines,Laminator Core,1390.01,448.08,3,0.0
CA-2024-10032,2024-12-28,Karen White,East,Pennsylvania,Philadelphia,Technology,Machines,Laminator Core,606.13,130.27,1,0.2
CA-2025-10032,2025-06-06,Leo Harris,Central,Texas,Houston,Furniture,Chairs,Leather Executive High-Back Chair,954.53,-29.85,3,0.0
CA-2025-10032,2025-09-20,Carol Martinez,West,Washington,Seattle,Technology,Accessories,Mechanical Keyboard,333.48,100.71,1,0.2
CA-2024-10033,2024-03-06,Leo Harris,East,Pennsylvania,Philadelphia,Technology,Accessories,Noise-Cancelling Headphones,2346.96,381.1,7,0.0
CA-2024-10033,2024-06-08,Jack Thomas,Central,Texas,Austin,Technology,Accessories,USB-C Hub,3092.83,955.52,7,0.0
CA-2024-10033,2024-06-29,Emily Davis,West,California,Los Angeles,Technology,Machines,Heavy-Duty Shredder,1907.07,310.66,7,0.0
CA-2025-10034,2025-01-31,Henry Wilson,West,California,Los Angeles,Technology,Phones,iPhone 14,355.32,72.5,3,0.0
CA-2024-10034,2024-05-31,Frank Miller,East,New York,New York City,Office Supplies,Binders,Zipper Binder Pouch,47.11,21.49,1,0.2
CA-2025-10034,2025-04-12,Ivy Anderson,West,California,San Francisco,Office Supplies,Binders,Zipper Binder Pouch,248.94,130.34,6,0.0
CA-2025-10035,2025-05-26,Leo Harris,Central,Texas,Houston,Technology,Accessories,USB-C Hub,848.45,321.24,4,0.2
CA-2024-10035,2024-09-02,Jack Thomas,West,California,Los Angeles,Furniture,Furnishings,Desk Organizer Organizer Tray,3415.75,-328.14,11,0.3
CA-2025-10035,2025-01-07,Henry Wilson,East,New York,New York City,Technology,Accessories,Wireless Mouse,4407.03,1906.54,11,0.1
CA-2025-10036,2025-01-24,Henry Wilson,East,New York,New York City,Furniture,Chairs,Leather Executive High-Back Chair,2781.61,70.34,10,0.3
CA-2024-10036,2024-02-05,Olivia Lewis,East,Pennsylvania,Philadelphia,Office Supplies,Paper,Photo Paper Glossy,178.99,88.3,11,0.0
CA-2024-10036,2024-04-15,Henry Wilson,South,Georgia,Atlanta,Office Supplies,Fasteners,Paperclips Box of 500,126.15,68.32,5,0.2
CA-2024-10037,2024-08-26,Jack Thomas,South,Florida,Miami,Office Supplies,Paper,Photo Paper Glossy,205.78,107.67,5,0.0
CA-2025-10037,2025-11-01,Nathan Clark,West,Washington,Seattle,Furniture,Furnishings,LED Desk Lamp,2464.99,-72.85,11,0.3
CA-2024-10037,2024-04-17,Jack Thomas,South,North Carolina,Charlotte,Furniture,Furnishings,Desk Organizer Organizer Tray,1560.14,8.11,5,0.15
CA-2025-10038,2025-01-24,Mia Martin,West,California,San Francisco,Office Supplies,Binders,Ring Binder 2-Inch,292.36,119.44,4,0.0
CA-2025-10038,2025-05-14,Carol Martinez,West,Washington,Seattle,Furniture,Chairs,Stool Adjustable Height,508.31,-41.98,4,0.0
CA-2025-10038,2025-05-14,Carol Martinez,West,Washington,Seattle,Furniture,Chairs,Stool Adjustable Height,508.31,-41.98,4,0.0
CA-2025-10038,2025-05-28,Jack Thomas,East,Massachusetts,Boston,Technology,Machines,Heavy-Duty Shredder,1355.4,365.06,6,0.2
CA-2024-10039,2024-07-21,Frank Miller,East,Pennsylvania,Philadelphia,Technology,Phones,Samsung Galaxy S23,812.27,218.0,9,0.0
CA-2025-10039,2025-12-17,Emily Davis,South,Georgia,Atlanta,Office Supplies,Appliances,Compact Refrigerator,611.37,324.99,9,0.0
CA-2025-10039,2025-10-04,Jack Thomas,South,Georgia,Atlanta,Technology,Machines,Heavy-Duty Shredder,908.61,252.64,7,0.2
CA-2024-10040,2024-08-15,Bob Johnson,East,Massachusetts,Boston,Furniture,Chairs,Leather Executive High-Back Chair,4448.37,-417.52,12,0.15
CA-2024-10040,2024-05-17,Ivy Anderson,East,Massachusetts,Boston,Technology,Accessories,USB-C Hub,2523.53,709.9,4,0.2
CA-2024-10040,2024-12-24,David Chen,Central,Illinois,Chicago,Technology,Accessories,Wireless Mouse,1210.52,315.08,5,0.0
CA-2024-10041,2024-04-24,Jack Thomas,East,Massachusetts,Boston,Technology,Copiers,Brother Monochrome Copier,1448.21,401.04,8,0.0
CA-2025-10041,2025-08-15,Frank Miller,South,Georgia,Atlanta,Technology,Phones,iPhone 14,518.88,80.59,1,0.1
CA-2024-10041,2024-07-07,Nathan Clark,East,Massachusetts,Boston,Office Supplies,Art,Acrylic Paint Set,436.81,162.11,8,0.2
CA-2024-10041,2024-07-07,Nathan Clark,East,Massachusetts,Boston,Office Supplies,Art,Acrylic Paint Set,436.81,162.11,8,0.2
CA-2024-10042,2024-07-26,Bob Johnson,South,Florida,Miami,Office Supplies,Fasteners,Rubber Bands Size 32,98.14,56.86,4,0.0
CA-2024-10042,2024-12-28,Olivia Lewis,East,Massachusetts,Boston,Office Supplies,Binders,Zipper Binder Pouch,98.85,40.78,3,0.0
CA-2025-10042,2025-05-19,Leo Harris,West,California,Los Angeles,Technology,Accessories,Wireless Mouse,5117.56,1823.15,9,0.2
CA-2025-10043,2025-10-02,Carol Martinez,South,Florida,Miami,Office Supplies,Appliances,Compact Refrigerator,469.22,142.41,12,0.0
CA-2024-10043,2024-04-21,Jack Thomas,West,California,Los Angeles,Furniture,Furnishings,LED Desk Lamp,649.15,-57.23,3,0.3
CA-2024-10043,2024-09-12,Henry Wilson,West,California,San Francisco,Office Supplies,Art,Sketchbook 100 Pages,391.23,151.07,7,0.0
CA-2024-10044,2024-02-27,Emily Davis,Central,Texas,Houston,Technology,Machines,Heavy-Duty Shredder,3428.96,940.17,5,0.1
CA-2025-10044,2025-01-20,Carol Martinez,Central,Texas,Houston,Technology,Accessories,Wireless Mouse,484.24,140.97,6,0.2
CA-2025-10044,2025-03-21,Alice Smith,South,North Carolina,Charlotte,Furniture,Furnishings,LED Desk Lamp,4126.49,203.78,10,0.0
CA-2025-10045,2025-12-14,Grace Taylor,East,New York,New York City,Office Supplies,Fasteners,Rubber Bands Size 32,86.48,40.66,8,0.2
CA-2025-10045,2025-09-15,Mia Martin,West,California,San Francisco,Furniture,Chairs,Stool Adjustable Height,616.74,28.58,4,0.3
CA-2025-10045,2025-01-19,Ivy Anderson,West,Washington,Seattle,Technology,Phones,Google Pixel 7,2334.56,948.34,10,0.2
CA-2025-10046,2025-06-19,Bob Johnson,West,California,San Francisco,Furniture,Furnishings,LED Desk Lamp,960.5,-89.54,7,0.15
CA-2025-10046,2025-05-17,Mia Martin,East,Massachusetts,Boston,Office Supplies,Paper,Photo Paper Glossy,751.27,368.32,12,0.0
CA-2024-10046,2024-11-23,Olivia Lewis,West,Washington,Seattle,Technology,Copiers,HP LaserJet Pro,1862.02,538.25,3,0.0
CA-2024-10047,2024-06-16,Carol Martinez,East,Massachusetts,Boston,Technology,Phones,Samsung Galaxy S23,4411.31,1816.01,10,0.2
CA-2025-10047,2025-01-25,Olivia Lewis,Central,Texas,Houston,Technology,Machines,Heavy-Duty Shredder,1284.01,277.58,2,0.2
CA-2025-10047,2025-08-30,Alice Smith,West,Washington,Seattle,Technology,Accessories,Wireless Mouse,961.99,181.23,2,0.0
CA-2025-10048,2025-09-26,Karen White,South,Georgia,Atlanta,Technology,Phones,OnePlus 11,6597.61,1727.82,9,0.0
CA-2024-10048,2024-11-22,Frank Miller,West,California,San Francisco,Office Supplies,Fasteners,Paperclips Box of 500,117.32,55.02,12,0.0
CA-2025-10048,2025-04-17,David Chen,West,Washington,Seattle,Furniture,Bookcases,Corner Display Cabinet,1036.89,-15.93,5,0.3
CA-2025-10049,2025-04-27,Nathan Clark,South,Georgia,Atlanta,Office Supplies,Art,Sketchbook 100 Pages,143.46,46.31,10,0.0
CA-2025-10049,2025-12-06,Alice Smith,Central,Texas,Houston,Furniture,Chairs,Leather Executive High-Back Chair,635.94,-94.48,7,0.5
CA-2024-10049,2024-02-12,,South,Florida,Miami,Technology,Machines,Heavy-Duty Shredder,1339.01,422.96,2,0.2
CA-2025-10050,2025-10-05,Alice Smith,East,Massachusetts,Boston,Technology,Accessories,Noise-Cancelling Headphones,1272.38,435.72,3,0.0
CA-2024-10050,2024-12-23,Ivy Anderson,South,Georgia,Atlanta,Technology,Accessories,Wireless Mouse,3109.65,1078.5,10,0.2
CA-2025-10050,2025-03-10,Leo Harris,South,Georgia,Atlanta,Office Supplies,Fasteners,Push Pins Assorted Colors,55.64,30.01,9,0.0
CA-2025-10051,2025-11-25,Nathan Clark,West,California,San Francisco,Technology,Phones,Google Pixel 7,3833.79,1341.56,11,0.0
CA-2025-10051,2025-10-10,Olivia Lewis,Central,Illinois,Chicago,Furniture,Tables,Standing Desk Birch Wood,2840.4,-168.16,12,0.3
CA-2025-10051,2025-03-22,Frank Miller,West,California,San Francisco,Office Supplies,Paper,Premium Copy Paper A4,29.69,13.03,2,0.0
CA-2024-10052,2024-02-13,Carol Martinez,East,Pennsylvania,Philadelphia,Office Supplies,Binders,Heavy-Duty Presentation Folder,605.78,307.7,12,0.0
CA-2024-10052,2024-02-11,Henry Wilson,South,Georgia,Atlanta,Technology,Machines,3D Printer Pro,406.81,78.72,4,0.0
CA-2024-10052,2024-09-25,Grace Taylor,West,California,Los Angeles,Office Supplies,Paper,Photo Paper Glossy,479.28,231.34,11,0.0
CA-2024-10053,2024-05-24,Frank Miller,East,Pennsylvania,Philadelphia,Furniture,Furnishings,Desk Organizer Organizer Tray,441.9,-6.72,2,0.5
CA-2025-10053,2025-10-12,Olivia Lewis,South,North Carolina,Charlotte,Furniture,Bookcases,4-Shelf Wood Bookcase,3269.56,92.68,9,0.0
CA-2025-10053,2025-01-31,Emily Davis,East,New York,New York City,Furniture,Tables,Standing Desk Birch Wood,2015.72,-191.23,8,0.3
CA-2025-10053,2025-01-31,Emily Davis,East,New York,New York City,Furniture,Tables,Standing Desk Birch Wood,2015.72,-191.23,8,0.3
CA-2025-10054,2025-09-02,Ivy Anderson,South,North Carolina,Charlotte,Technology,Machines,Heavy-Duty Shredder,850.49,310.26,2,0.0
CA-2025-10054,2025-11-30,David Chen,East,Massachusetts,Boston,Technology,Copiers,HP LaserJet Pro,3248.03,1420.01,11,0.0
CA-2024-10054,2024-04-17,Mia Martin,West,California,San Francisco,Office Supplies,Fasteners,Rubber Bands Size 32,49.97,17.3,2,0.2
CA-2025-10055,2025-03-05,Alice Smith,Central,Illinois,Chicago,Technology,Phones,iPhone 14,1286.48,302.06,2,0.2
CA-2025-10055,2025-12-09,Bob Johnson,East,Pennsylvania,Philadelphia,Furniture,Chairs,Leather Executive High-Back Chair,3786.04,-183.33,11,0.15
CA-2025-10055,2025-08-15,Henry Wilson,Central,Texas,Houston,Furniture,Tables,Folding Utility Table,638.66,-58.63,5,0.3
CA-2024-10056,2024-02-01,Karen White,South,North Carolina,Charlotte,Office Supplies,Fasteners,Paperclips Box of 500,479.96,148.94,11,0.0
CA-2025-10056,2025-10-10,Emily Davis,West,California,San Francisco,Office Supplies,Appliances,Countertop Microwave,281.22,124.26,7,0.0
CA-2024-10056,2024-03-07,Karen White,Central,Illinois,Chicago,Office Supplies,Paper,Photo Paper Glossy,111.26,42.18,2,0.2
CA-2025-10057,2025-06-26,Olivia Lewis,Central,Illinois,Chicago,Technology,Phones,OnePlus 11,3046.92,1240.17,6,0.1
CA-2024-10057,2024-11-23,Bob Johnson,South,Georgia,Atlanta,Office Supplies,Paper,Photo Paper Glossy,224.3,121.87,4,0.0
CA-2024-10057,2024-10-19,Nathan Clark,South,Georgia,Atlanta,Furniture,Chairs,Leather Executive High-Back Chair,1137.26,-38.81,7,0.5
CA-2025-10058,2025-02-09,Bob Johnson,East,Massachusetts,Boston,Office Supplies,Binders,Heavy-Duty Presentation Folder,13.46,5.45,2,0.0
CA-2025-10058,2025-03-28,Leo Harris,Central,Texas,Austin,Office Supplies,Binders,Zipper Binder Pouch,552.32,256.59,10,0.2
CA-2024-10058,2024-10-25,Olivia Lewis,East,Massachusetts,Boston,Technology,Copiers,Brother Monochrome Copier,668.49,103.67,5,0.0
CA-2024-10059,2024-12-03,Leo Harris,East,Pennsylvania,Philadelphia,Furniture,Furnishings,Anti-Fatigue Comfort Floor Mat,1326.45,-48.03,6,0.3
CA-2025-10059,2025-01-14,Grace Taylor,Central,Texas,Houston,Office Supplies,Fasteners,Rubber Bands Size 32,45.53,16.63,6,0.2
CA-2025-10059,2025-09-26,David Chen,West,California,Los Angeles,Furniture,Bookcases,4-Shelf Wood Bookcase,1558.65,-176.62,11,0.3
CA-2024-10060,2024-01-18,Leo Harris,East,New York,New York City,Office Supplies,Binders,Heavy-Duty Presentation Folder,60.54,35.15,2,0.2
CA-2025-10060,2025-01-20,Bob Johnson,South,North Carolina,Charlotte,Furniture,Furnishings,LED Desk Lamp,713.15,1.35,3,0.15
CA-2024-10060,2024-04-23,Nathan Clark,Central,Texas,Austin,Furniture,Bookcases,4-Shelf Wood Bookcase,2412.93,-220.87,12,0.15
CA-2024-10061,2024-07-25,Alice Smith,South,North Carolina,Charlotte,Furniture,Bookcases,4-Shelf Wood Bookcase,699.63,-50.37,11,0.5
CA-2024-10061,2024-08-24,Alice Smith,Central,Texas,Austin,Furniture,Chairs,Leather Executive High-Back Chair,2907.11,-292.9,8,0.15
CA-2024-10061,2024-05-05,Carol Martinez,South,Florida,Miami,Furniture,Chairs,Leather Executive High-Back Chair,370.72,-0.02,3,0.5
CA-2025-10062,2025-10-04,David Chen,West,Washington,Seattle,Office Supplies,Art,Watercolor Marker Pack,610.45,244.22,10,0.0
CA-2025-10062,2025-03-15,Leo Harris,Central,Texas,Austin,Technology,Copiers,Brother Monochrome Copier,3660.99,1223.21,6,0.1
CA-2024-10062,2024-07-27,Leo Harris,Central,Texas,Austin,Furniture,Tables,Conference Room Table,728.61,-23.3,7,0.15
CA-2025-10063,2025-01-08,Carol Martinez,West,Washington,Seattle,Office Supplies,Paper,Premium Copy Paper A4,85.14,41.58,4,0.0
CA-2024-10063,2024-09-18,Leo Harris,West,Washington,Seattle,Office Supplies,Art,Watercolor Marker Pack,182.91,70.83,4,0.0
CA-2025-10063,2025-10-10,Frank Miller,West,Washington,Seattle,Technology,Machines,Heavy-Duty Shredder,5845.57,1600.56,10,0.0
CA-2024-10064,2024-11-18,Nathan Clark,East,Massachusetts,Boston,Furniture,Chairs,Ergonomic Mesh Office Chair,762.24,-28.72,4,0.0
CA-2024-10064,2024-08-26,Carol Martinez,Central,Texas,Austin,Furniture,Furnishings,Desk Organizer Organizer Tray,2804.49,-9.69,11,0.0
